category,subcategory,name,state
0,187,PICHILINGUILLO,MICHOACAN
0,188,PLAYA AZUL,MICHOACAN
0,189,SAN JUAN DE ALIMA,MICHOACAN
0,190,TICUIZ,MICHOACAN
0,191,ATICAMA,NAYARIT
0,192,BAHIA DE BUCERIAS,NAYARIT
0,193,BAHIA DE CHACALILLA,NAYARIT
0,194,BAHIA DE MATANCHEN,NAYARIT
0,195,BOCA DEL NARANJO,NAYARIT
0,196,BOCA DE CAMICHIN,NAYARIT
0,197,CHACALA,NAYARIT
0,198,CHILA,NAYARIT
0,199,CORRAL DEL RISCO,NAYARIT
0,200,ISLAS MARIETAS,NAYARIT
0,201,LAS ISLITAS,NAYARIT
0,202,LA CRUZ DE HUANACAXTLE,NAYARIT
0,203,LA PEÑITA DE JALTEMBA,NAYARIT
0,204,LOS AYALA,NAYARIT
0,205,LOS COCOS,NAYARIT
0,206,LOS CORCHOS,NAYARIT
0,207,LO DE MARCOS,NAYARIT
0,208,MANZANILLA,NAYARIT
0,209,NUEVO VALLARTA,NAYARIT
0,210,PLATANITOS,NAYARIT
0,211,PLAYA DESTILADERAS,NAYARIT
0,212,PLAYA EL CANALAN,NAYARIT
0,213,PLAYA LAS TORTUGAS,NAYARIT
0,214,PLAYA LITIBU,NAYARIT
0,215,PLAYA NOVILLERO,NAYARIT
0,216,PLAYA SAN PANCHO,NAYARIT
0,217,PUNTA MITA,NAYARIT
0,218,RINCON DE GUAYABITOS,NAYARIT
0,219,SAN BLAS,NAYARIT
0,220,SAYULITA,NAYARIT
0,221,BACOCHO,OAXACA
0,222,BAHIAS DE MAGUEY Y EL ORGANO,OAXACA
0,223,BAHIA CONEJOS,OAXACA
0,224,BAHIA DE CACALUTA,OAXACA
0,225,BAHIA DE CHACHACUAL,OAXACA
0,226,BAHIA DE CHAHUE,OAXACA
0,227,BAHIA DE SANTA BRUZ,OAXACA
0,228,BAHIA DE SAN AGUSTIN,OAXACA
0,229,BAHIA DE TANGOLUNDA,OAXACA
0,230,BAJOS DE COYULA Y EL ARENAL,OAXACA
0,231,CACALUTA Y ARROYO,OAXACA
0,232,CARRIZALILLO,OAXACA
0,233,CHACAHUA,OAXACA
0,234,CHIPEHUA,OAXACA
0,235,ESTACAHUITE,OAXACA
0,236,HUATULCO,OAXACA
0,237,LA BOQUILLA,OAXACA
0,238,LA ESCOBILLA,OAXACA
0,239,LA MINA,OAXACA
0,240,MANZANILLO,OAXACA
0,241,MARINERO,OAXACA
0,242,PLAYA ARROCITO,OAXACA
0,243,PLAYA AZUL,OAXACA
0,244,PLAYA CORRALERO,OAXACA
0,245,PLAYA DEL AMOR,OAXACA
0,246,PLAYA DEL MUELLE,OAXACA
0,247,PLAYA DEL PANTEON,OAXACA
0,248,PLAYA LA TIJERA,OAXACA
0,249,PLAYA MAZUNTE,OAXACA
0,250,PLAYA ROCA BLANCA,OAXACA
0,251,PUERTO ANGEL,OAXACA
0,252,PUERTO ANGELITO,OAXACA
0,253,PUERTO ESCONDIDO,OAXACA
0,254,SALINA CRUZ,OAXACA
0,255,SAN AGUSTINILLO,OAXACA
0,256,VENTANILLA,OAXACA
0,257,ZICATELA,OAXACA
0,258,ZIPOLITE,OAXACA
0,259,AKUMAL,QUINTANA ROO
0,260,BACALAR,QUINTANA ROO
0,261,BOCA PAILA,QUINTANA ROO
0,262,CALDERITAS,QUINTANA ROO
0,263,CANCUN,QUINTANA ROO
0,264,CHETUMAL,QUINTANA ROO
0,265,COZUMEL,QUINTANA ROO
0,266,HOLBOX,QUINTANA ROO
0,267,ISLA CONTOY,QUINTANA ROO
0,268,ISLA MUJERES,QUINTANA ROO
0,269,KANTENAH,QUINTANA ROO
0,270,MAHAHUAL,QUINTANA ROO
0,271,PAAMUL,QUINTANA ROO
0,272,PLAYACAR,QUINTANA ROO
0,273,PLAYA DEL SECRETO,QUINTANA ROO
0,274,PLAYA PARAISO,QUINTANA ROO
0,275,PLAYA PUNTA ESMERALDA,QUINTANA ROO
0,276,PUERTO AVENTURAS,QUINTANA ROO
0,277,PUERTO MORELOS,QUINTANA ROO
0,278,PUNTA ALLEN,QUINTANA ROO
0,279,PUNTA BETE,QUINTANA ROO
0,280,PUNTA MAROMA,QUINTANA ROO
0,281,RIVIERA MAYA,QUINTANA ROO
0,282,TRES RIOS,QUINTANA ROO
0,283,TULUM,QUINTANA ROO
0,284,XCACEL,QUINTANA ROO
0,285,XCALACOCO,QUINTANA ROO
0,286,XCALAK,QUINTANA ROO
0,287,XCARET,QUINTANA ROO
0,288,XPU-HA,QUINTANA ROO
0,289,ALTATA,SINALOA
0,290,CERRITOS,SINALOA
0,291,EL MAVIRI,SINALOA
0,292,ISLA DEL FARALLON,SINALOA
0,293,ISLA DE LA PIEDRA,SINALOA
0,294,LAS GLORIAS,SINALOA
0,295,MAZATLAN,SINALOA
0,296,OLAS ALTAS,SINALOA
0,297,PLAYA BRUJAS,SINALOA
0,298,PLAYA CAMARON SABALO,SINALOA
0,299,PLAYA GAVIOTAS,SINALOA
0,300,PLAYA NORTE,SINALOA
0,301,TEACAPAN,SINALOA
0,302,BAHIA DE KINO,SONORA
0,303,BAHIA DE SAN CARLOS,SONORA
0,304,EL HIMALAYA,SONORA
0,305,HUATABAMPITO,SONORA
0,306,LOS ALGODONES,SONORA
0,307,PLAYA HERMOSA,SONORA
0,308,PLAYA LA POSADA,SONORA
0,309,PUERTO LIBERTAD,SONORA
0,310,PUERTO LOBOS,SONORA
0,311,PUNTA CHUECA,SONORA
0,312,SANTO TOMAS,SONORA
0,313,BARRA DE TUPILCO,TABASCO
0,314,CHILTEPEC,TABASCO
0,315,PARAISO,TABASCO
0,316,PLAYA ACAPULQUITO,TABASCO
0,317,PLAYA PICO DE ORO,TABASCO
0,318,VILLA CUAHUTEMOC,TABASCO
0,319,BARRA DEL TORDO,TAMAULIPAS
0,320,COSTA AZUL(BAGDAD),TAMAULIPAS
0,321,LA PESCA,TAMAULIPAS
0,322,PLAYA DEL SOL,TAMAULIPAS
0,323,PLAYA EL MEZQUITAL,TAMAULIPAS
0,324,PLAYA TAUMALIPAS,TAMAULIPAS
0,325,PLAYA TEPEHUAJES,TAMAULIPAS
0,326,PLAYA TESORO ALTAMIRA,TAMAULIPAS
0,327,BARRA DE BAZONES,VERACRUZ
0,328,BOCA DEL RIO,VERACRUZ
0,329,CHACHALACAS,VERACRUZ
0,330,PEÑA HERMOSA,VERACRUZ
0,331,PLAYA ANTON LIZARDO,VERACRUZ
0,332,PLAYA CHAPARRALES,VERACRUZ
0,333,PLAYA ESCONDIDA,VERACRUZ
0,334,PLAYA FARALLON,VERACRUZ
0,335,PLAYA LA MANCHA,VERACRUZ
0,336,PLAYA MARACAIBO,VERACRUZ
0,337,PLAYA MIRAMAR,VERACRUZ
0,338,PLAYA MOCAMBO,VERACRUZ
0,339,PLAYA MUÑECOS,VERACRUZ
0,340,PLAYA VILLA RICA,VERACRUZ
0,341,TAMIAHUA,VERACRUZ
0,342,TECOLUTLA,VERACRUZ
0,343,VILLA RICA,VERACRUZ
0,344,CELESTUN,YUCATAN
0,345,EL CUYO,YUCATAN
0,346,EL PALMAR,YUCATAN
0,347,LAS COLORADAS,YUCATAN
0,348,PLAYA CANCUNITO,YUCATAN
0,349,PLAYA MAYA,YUCATAN
0,350,PLAYA PUERTO ABRIGO,YUCATAN
0,351,PLAYA PUERTO CHUBURNA,YUCATAN
0,352,PLAYA XIXIM,YUCATAN
0,353,RIO LAGARTOS,YUCATAN
0,354,SISAL,YUCATAN
0,355,TELCHAC PUERTO,YUCATAN
1,0,CALVILLO,AGUASCALIENTES
1,1,REAL DE ASIENTOS,AGUASCALIENTES
1,2,SAN JOSE DE GRACIA,AGUASCALIENTES
1,3,TECATE,BAJA CALIFORNIA
1,4,LORETO,BAJA CALIFORNIA SUR
1,5,TODOS SANTOS,BAJA CALIFORNIA SUR
1,6,ISLA AGUADA,CAMPECHE
1,7,PALIZADA,CAMPECHE
1,8,CHIAPA DE CORZO,CHIAPAS
1,9,COMITAN,CHIAPAS
1,10,PALENQUE,CHIAPAS
1,11,SAN CRISTOBAL DE LAS CASAS,CHIAPAS
1,12,BATOPILAS,CHIHUAHUA
1,13,CASAS GRANDES,CHIHUAHUA
1,14,CREEL,CHIHUAHUA
1,15,ARTEAGA,COAHUILA
1,16,CANDELA,COAHUILA
1,17,CUATRO CIENEGAS,COAHUILA
1,18,GUERRERO,COAHUILA
1,19,MELCHOR MUZQUIZ,COAHUILA
1,20,PARRAS DE LA FUENTE,COAHUILA
1,21,VIESCA,COAHUILA
1,22,COMALA,COLIMA
1,23,MAPIMI,DURANGO
1,24,NOMBRE DE DIOS,DURANGO
1,25,ACULCO,EDO DE MEXICO
1,26,EL ORO,EDO DE MEXICO
1,27,IXTAPAN DE LA SAL,EDO DE MEXICO
1,28,MALINALCO,EDO DE MEXICO
1,29,METEPEC,EDO DE MEXICO
1,30,TEOTIHUACAN,EDO DE MEXICO
1,31,TEPOTZOTLAN,EDO DE MEXICO
1,32,TONATICO,EDO DE MEXICO
1,33,VALLE DE BRAVO,EDO DE MEXICO
1,34,VILLA DEL CARBON,EDO DE MEXICO
1,35,COMONFORT,GUANAJUATO
1,36,DOLORES HIDALGO,GUANAJUATO
1,37,JALAPA DE CANOVAS,GUANAJUATO
1,38,MINERAL DE POZOS,GUANAJUATO
1,39,SALVATIERRA,GUANAJUATO
1,40,YURIRIA,GUANAJUATO
1,41,TAXCO,GUERRERO
1,42,HUASCA DE OCAMPO,HIDALGO
1,43,HUICHAPAN,HIDALGO
1,44,MINERAL DEL CHICO,HIDALGO
1,45,REAL DE MONTE,HIDALGO
1,46,TECOZAUTLA,HIDALGO
1,47,ZEMPOALA,HIDALGO
1,48,ZIMAPAN,HIDALGO
1,49,AJIJIC,JALISCO
1,50,LAGOS DE MORENO,JALISCO
1,51,MASCOTA,JALISCO
1,52,MAZAMITLA,JALISCO
1,53,SAN SEBASTIAN DEL OESTE,JALISCO
1,54,TAPALPA,JALISCO
1,55,TEQUILA,JALISCO
1,56,TLAQUEPAQUE,JALISCO
1,57,CUITZEO DEL PORVENIR,MICHOACAN
1,58,JIQUILPAN DE JUAREZ,MICHOACAN
1,59,MINERAL DE ANGANGUEO,MICHOACAN
1,60,PARACHO DE VERDUZCO,MICHOACAN
1,61,PATZCUARO,MICHOACAN
1,62,SANTA CLARA DEL COBRE,MICHOACAN
1,63,TACAMBARO,MICHOACAN
1,64,TLAPUJAHUA DE RAYON,MICHOACAN
1,65,TZINTZUNTZAN,MICHOACAN
1,66,TEPOZTLAN,MORELOS
1,67,TLAYACAPAN,MORELOS
1,68,COMPOSTELA DE INDIAS,NAYARIT
1,69,JALA,NAYARIT
1,70,MEXCALTITAN,NAYARIT
1,71,SAYULITA,NAYARIT
1,72,BUSTAMANTE,NUEVO LEON
1,73,LINARES,NUEVO LEON
1,74,SANTIAGO,NUEVO LEON
1,75,CAPUALALPAM DE MENDEZ,OAXACA
1,76,HUAUTLA DE JIMENEZ,OAXACA
1,77,MAZUNTE,OAXACA
1,78,SANTA CATARINA JUQUILITA,OAXACA
1,79,SAN PABLO VILLA DE MITLA,OAXACA
1,80,SAN PEDRO Y SAN PABLO TEPOSCOLULA,OAXACA
1,81,ATLIXCO,PUEBLA
1,82,CHIGNAHUAPAN,PUEBLA
1,83,CHOLULA,PUEBLA
1,84,CUETZALAN DEL PROGRESO,PUEBLA
1,85,HUAUCHINANGO,PUEBLA
1,86,PAHUATLAN,PUEBLA
1,87,TETELA DE OCAMPO,PUEBLA
1,88,TLATLAUQUITEPEC,PUEBLA
1,89,XICOTEPEC,PUEBLA
1,90,ZACATLAN DE LAS MANZANAS,PUEBLA
1,91,AMEALCO DE BONFIL,QUERETARO
1,92,BERNAL,QUERETARO
1,93,CADEREYTA DE MONTES,QUERETARO
1,94,JALPAN DE SERRA,QUERETARO
1,95,SAN JOAQUIN,QUERETARO
1,96,TEQUISQUIAPAN,QUERETARO
1,97,BACALAR,QUINTANA ROO
1,98,ISLA MUJERES,QUINTANA ROO
1,99,TULUM,QUINTANA ROO
1,100,AQUISMON,SAN LUIS POTOSI
1,101,REAL DE CATORCE,SAN LUIS POTOSI
1,102,SANTA MARIA DEL RIO,SAN LUIS POTOSI
1,103,XILITLA,SAN LUIS POTOSI
1,104,COSALA,SINALOA
1,105,EL FUERTE,SINALOA
1,106,EL ROSARIO,SINALOA
1,107,MOCORITO,SINALOA
1,108,ALAMOS,SONORA
1,109,MAGDALENA DE KINO,SONORA
1,110,TAPIJULAPA,TABASCO
1,111,MIER,TAMAULIPAS
1,112,TULA,TAMAULIPAS
1,113,HUAMANTLA,TLAXCALA
1,114,TLAXCO,TLAXCALA
1,115,COATEPEC,VERACRUZ
1,116,COSOMATEPEC,VERACRUZ
1,117,ORIZABA,VERACRUZ
1,118,PAPANTLA,VERACRUZ
1,119,XICO,VERACRUZ
1,120,ZOZOCOLCO DE HIDALGO,VERACRUZ
1,121,IZAMAL,YUCATAN
1,122,MANI,YUCATAN
1,123,SISAL,YUCATAN
1,124,VALLADOLID,YUCATAN
1,125,GUADALUPE ,ZACATECAS
1,126,JEREZ DE GARCIA SALINAS ,ZACATECAS
1,127,NOCHISTLAN DE MEJIA ,ZACATECAS
1,128,PINOS ,ZACATECAS
1,129,SOMBRERETE,ZACATECAS
1,130,TEUL DE GONZALES ORTEGA,ZACATECAS
